"Participant.ID","AgeGroup","Gender","SkinTone","Origin","Education","MusicTraining","Familiarity.Score"
"83","18-24 years old","Male","1.always","Europe","High school degree or equivalent","No","0.08"
"84","25-34 years old","Male","2.usually","Europe","Master’s degree (e.g. MA, MS, MEd)","No","0.06"
"85","25-34 years old","Male","1.always","Europe","Master’s degree (e.g. MA, MS, MEd)","Yes","0.03"
"86",NA,"Prefer not to Say","6.never","Africa","Doctorate (e.g. PhD, EdD)","Yes","0.15"
"87","25-34 years old","Male","2.usually","Europe","Bachelor’s degree (e.g. BA, BS)","Yes","0.38"
"88","35-44 years old","Female","1.always","Europe","Master’s degree (e.g. MA, MS, MEd)","No","0.32"
"89","25-34 years old","Male","2.usually","Europe","Master’s degree (e.g. MA, MS, MEd)","No","0.48"
"90","35-44 years old","Female","1.always","Europe","Doctorate (e.g. PhD, EdD)","Yes","0.76"
"91","45-54 years old","Male","2.usually","Asia","Doctorate (e.g. PhD, EdD)","No","0.25"
"92","35-44 years old","Male","1.always","Europe","High school degree or equivalent","No","0.38"
"93","35-44 years old","Female","1.always","North America","Master’s degree (e.g. MA, MS, MEd)","No","0.44"
"94","25-34 years old","Male","1.always","Europe","Bachelor’s degree (e.g. BA, BS)","No","0.1"
"95","18-24 years old","Female","2.usually","Europe","High school degree or equivalent","Yes","0.25"
"96","25-34 years old","Male","2.usually","Europe","Master’s degree (e.g. MA, MS, MEd)","Yes","0.75"
"97","25-34 years old","Male","2.usually","Europe","High school degree or equivalent","No","0.33"
"98","35-44 years old","Female","2.usually","South America","Doctorate (e.g. PhD, EdD)","Yes","0"
"99","25-34 years old","Male","2.usually","Europe","Master’s degree (e.g. MA, MS, MEd)","Yes","0.23"
"100","25-34 years old","Male","1.always","Europe","Master’s degree (e.g. MA, MS, MEd)","Yes","0.04"
"101","35-44 years old","Male","3.sometimes","Europe","Master’s degree (e.g. MA, MS, MEd)","Yes","0.2"
"102","25-34 years old","Prefer not to Say",NA,"Europe","Master’s degree (e.g. MA, MS, MEd)","Yes","0.27"
"103","25-34 years old","Male","5.rarely","Asia","Master’s degree (e.g. MA, MS, MEd)","No","0.36"
"104","35-44 years old","Female","3.sometimes","Europe","Master’s degree (e.g. MA, MS, MEd)","Yes","0.14"
"105","35-44 years old","Prefer not to Say","4.minimally",NA,"Doctorate (e.g. PhD, EdD)","Yes","0.54"
"106","25-34 years old","Male","4.minimally","North America","Master’s degree (e.g. MA, MS, MEd)","Yes","0.21"
"107","25-34 years old","Male","2.usually","Europe","Doctorate (e.g. PhD, EdD)","Yes","0.14"
"108","35-44 years old","Prefer not to Say","4.minimally","South America","Master’s degree (e.g. MA, MS, MEd)","Yes","0.34"
"109","25-34 years old","Male","3.sometimes","Europe","Master’s degree (e.g. MA, MS, MEd)","Yes","0.02"
"110","25-34 years old","Female","2.usually","Europe","Master’s degree (e.g. MA, MS, MEd)","Yes","0.13"
"111","25-34 years old","Female","1.always","Europe","Master’s degree (e.g. MA, MS, MEd)","No","0.13"
"112","25-34 years old","Female","3.sometimes","Europe","Master’s degree (e.g. MA, MS, MEd)","No","0.04"
"113","25-34 years old","Male","3.sometimes","Europe","Doctorate (e.g. PhD, EdD)","No","0.42"
"114","35-44 years old","Male","2.usually","Europe","Master’s degree (e.g. MA, MS, MEd)","Yes","0.33"
"115","35-44 years old","Male","3.sometimes","Europe","Bachelor’s degree (e.g. BA, BS)","Yes","0.3"
